"","FECHA_DEF","registros_dia_4","registros_dia_5","registros_dia_6","registros_dia_7","registros_dia_8","registros_dia_9","registros_dia_10","registros_dia_11","registros_dia_12","registros_dia_13","registros_dia_14","registros_dia_15","registros_dia_16","registros_dia_17","registros_dia_18","registros_dia_19","registros_dia_20","registros_dia_21","registros_dia_22","registros_dia_23","registros_dia_24","registros_dia_25","registros_dia_26","registros_dia_27","registros_dia_28","registros_dia_29","registros_dia_30","registros_dia_31","registros_dia_32","registros_dia_33","registros_dia_34","registros_dia_35","registros_dia_36","registros_dia_37","registros_dia_38","registros_dia_39","registros_dia_40","registros_dia_41","registros_dia_42","registros_dia_43","registros_dia_44","registros_dia_45","registros_dia_46","registros_dia_47","registros_dia_48","registros_dia_49","registros_dia_50","registros_dia_51","registros_dia_52","registros_dia_53","registros_dia_54","registros_dia_55","registros_dia_56","registros_dia_57","registros_dia_58","registros_dia_59","registros_dia_60","acumulados_estimados","tasa_4dias","tasa_suave","Estado","Abreviatura","por_dia_suave","suave_duplex"
"1","2020-04-12",1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,NA,NA,"CHIHUAHUA","CH",4,NA
"2","2020-04-13",2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,31,NA,NA,"CHIHUAHUA","CH",3,NA
"3","2020-04-14",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,NA,NA,"CHIHUAHUA","CH",2,NA
"4","2020-04-15",1,1,3,3,3,3,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,39,NA,NA,"CHIHUAHUA","CH",6,NA
"5","2020-04-16",1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,1.46428571428571,1.46428571428571,"CHIHUAHUA","CH",2,7.27012215583733
"6","2020-04-17",2,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48,1.54838709677419,1.53420437089792,"CHIHUAHUA","CH",7,6.47783059974203
"7","2020-04-18",1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,52,1.57575757575758,1.52753966463644,"CHIHUAHUA","CH",4,6.54439723436128
"8","2020-04-19",1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,55,1.41025641025641,1.47101881857979,"CHIHUAHUA","CH",3.4375,7.18370545016038
"9","2020-04-20",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,61,1.48780487804878,1.45584154158849,"CHIHUAHUA","CH",5.0625,7.38207136504646
"10","2020-04-21",3,3,3,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,69,1.4375,1.45608583489681,"CHIHUAHUA","CH",6.375,7.37877497889031
"11","2020-04-22",1,1,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,76,1.46153846153846,1.44468968531469,"CHIHUAHUA","CH",6.1875,7.53636806635507
"12","2020-04-23",0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,78,1.41818181818182,1.45152470480339,"CHIHUAHUA","CH",3.4375,7.44090350682475
"13","2020-04-24",2,3,5,10,11,11,11,12,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,92,1.50819672131148,1.46733946737511,"CHIHUAHUA","CH",10.1875,7.23062301912913
"14","2020-04-25",1,2,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,99,1.43478260869565,1.43654574783359,"CHIHUAHUA","CH",6.6875,7.65397983976028
"15","2020-04-26",0,1,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,104,1.36842105263158,1.39547028105381,"CHIHUAHUA","CH",5.75,8.32030858270053
"16","2020-04-27",1,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,110,1.41025641025641,1.35701607698175,"CHIHUAHUA","CH",6.4375,9.08187236155281
"17","2020-04-28",0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,114,1.23913043478261,1.27768487551096,"CHIHUAHUA","CH",5.3125,11.3143911818842
"18","2020-04-29",1,1,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,121,1.22222222222222,1.23339371980676,"CHIHUAHUA","CH",6.75,13.2173115289294
"19","2020-04-30",1,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,130,1.25,1.25328282828283,"CHIHUAHUA","CH",7.875,12.2807870179994
"20","2020-05-01",5,5,5,6,8,8,8,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,142,1.29090909090909,1.28251594896332,"CHIHUAHUA","CH",10,11.1427824011253
"21","2020-05-02",1,1,1,1,1,1,1,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,148,1.29824561403509,1.29623024503407,"CHIHUAHUA","CH",6.5,10.6859868719584
"22","2020-05-03",1,2,3,3,5,5,5,5,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,157,1.29752066115702,1.29639865716421,"CHIHUAHUA","CH",8.125,10.6806388962837
"23","2020-05-04",3,3,3,5,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,168,1.29230769230769,1.27335091285155,"CHIHUAHUA","CH",9.5,11.4734801011732
"24","2020-05-05",1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,172,1.2112676056338,1.23614315832626,"CHIHUAHUA","CH",5.875,13.0784845826743
"25","2020-05-06",1,1,1,1,3,5,5,5,5,5,5,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,182,1.22972972972973,1.23296839047714,"CHIHUAHUA","CH",9.25,13.2390792993877
"26","2020-05-07",1,2,2,2,10,11,11,11,11,12,13,13,13,13,13,13,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,198,1.26114649681529,1.24901758560198,"CHIHUAHUA","CH",12.8125,12.4690693208733
"27","2020-05-08",1,1,2,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,209,1.24404761904762,1.255624387216,"CHIHUAHUA","CH",10.4375,12.1800841935561
"28","2020-05-09",0,1,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,219,1.27325581395349,1.26220025129909,"CHIHUAHUA","CH",9.8125,11.9068592222355
"29","2020-05-10",2,2,2,2,2,2,2,4,6,6,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,229,1.25824175824176,1.24667725685168,"CHIHUAHUA","CH",10.0625,12.5751354619063
"30","2020-05-11",0,2,2,2,3,3,4,4,4,4,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,237,1.1969696969697,1.20730366125103,"CHIHUAHUA","CH",9,14.7173213546438
"31","2020-05-12",2,2,2,3,3,4,4,4,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,246,1.17703349282297,1.18342127111053,"CHIHUAHUA","CH",9.375,16.4633625374209
"32","2020-05-13",1,1,3,3,6,7,7,7,7,9,9,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,259,1.18264840182648,1.18252580556003,"CHIHUAHUA","CH",11.9375,16.5376955880078
"33","2020-05-14",0,1,2,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,272,1.18777292576419,1.18596206544842,"CHIHUAHUA","CH",12.125,16.2563387849873
"34","2020-05-15",2,4,4,5,5,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,281,1.18565400843882,1.17951886471064,"CHIHUAHUA","CH",9.6875,16.7927175204989
"35","2020-05-16",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.11265098537826,4.11265098537826,285.112650985378,1.15899451620072,1.1580003425482,"CHIHUAHUA","CH",6.81336617927527,18.9004046873397
"36","2020-05-17",0,2,2,2,2,2,2,2,3,4,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.13215631693231,7.13215631693231,292.244807302311,1.12835832935255,1.13358873114218,"CHIHUAHUA","CH",8.14387861486056,22.1119912681724
"37","2020-05-18",6,7,7,7,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0262926059993,12.0262926059993,304.27109990831,1.1186437496629,1.12548712197259,"CHIHUAHUA","CH",10.717590047269,23.4535946662672
